loan_status,in_loantype,loanperiod,loan_type,cash_loan_volume,upgrade_loan_volume,existing_num_loans,allowed_ppl,decrease_rate,result
0,0,632.0007229900646,0,7.73585224586938,5.773578237106906,9.379209630900874,0.6987246587485877,0.5921018251617728,0.0
0,1,529.3121727262401,0,4.6301573454131235,4.97394850479788,9.21997977479983,0.26058549610895765,0.12369229440500622,-153.8125
1,0,502.9990836035659,1,2.265243176763637,5.586457138040396,1.5196015528691391,0.907609883435908,0.23062864935146454,0.0
0,1,44.11325871963333,1,7.9269202484523955,4.854918072814967,5.520275489791782,0.8558982153603034,0.4391483825174872,-27.25
0,0,767.9772261798761,1,5.492521516049406,9.879812290513685,8.736075623429008,0.9194832259136271,0.5110402850429917,-28.6625
1,0,559.8289672844778,1,7.4057068657765335,1.42624557816581,3.828771549088495,0.8183517818329997,0.6132609064098167,0.0
0,1,408.63254361702536,1,1.758549139939087,7.5431705504289726,5.541737299670556,0.9238914742395352,0.6371001196352662,-29.25
0,0,636.0528650967377,0,5.631198272333238,2.1373353628034755,3.1851182308749966,0.3102810046719645,0.45843943927638653,-161.3
1,0,98.16843665756237,0,8.987747277784546,7.186378184686492,7.87450537998805,0.8188092304540913,0.3701285546948817,0.0
1,0,775.1541435884409,0,8.541926542915235,6.3999317831178075,3.806903129309774,0.7310548666333225,0.5475902334936111,0.0
0,1,1.0,1,1.0,10.0,10.0,0.37569670459751414,0.1,-29.9875
0,0,649.1737897570927,0,5.756561326752377,1.7473059302682217,2.3894339735105286,0.31445699721354564,0.5019513247891862,0.0
0,0,625.3124955017382,0,5.551001384212653,1.9413480987095877,3.181341008501163,0.30868569167199905,0.45980061884830914,-159.65
0,0,709.2271050105537,0,6.170042379557889,3.4879003573620952,3.222144248816358,0.32021897119136566,0.4455600166708189,0.0
0,0,621.9629463069111,0,5.464416130155288,1.853528971281574,3.1706130443802563,0.31299754244114103,0.4586259596488971,-151.575
0,0,474.6949512832169,0,3.892596036040926,2.0476474509001923,3.1866564890044895,0.3088909550281842,0.5597813855424908,-155.9375
0,0,620.3845847602626,0,6.613747853173998,2.0997373761502383,3.18617460470731,0.4015616474687915,0.2752231535306605,0.0
0,0,348.6007016724284,0,8.621373552387205,2.048363114910946,3.1871669083746714,0.2120971073659212,0.46146042863318315,0.0
1,0,692.5116430860804,0,5.018591622900163,2.0995107416248295,3.2127462207990463,0.18137285608225737,0.504447893007142,0.0
0,0,670.5627601218557,0,6.167336147970329,6.001939935353216,7.2434879234750085,0.4251711942135684,0.46081700725511376,0.0
0,0,658.2506308557297,0,4.2555976124823935,2.0687954611674177,6.484042820164085,0.4364498215101168,0.46294455446133076,0.0
1,0,468.4975736433355,0,2.6281373913875297,7.694734185613519,9.182095972637935,0.3032389139545465,0.5628960015705889,0.0
1,0,449.9371177493213,1,8.304318431056387,9.612213559802631,2.600535092311471,0.4407956302438646,0.5602498248928344,0.0
0,0,1.595593268149551,0,3.7694948233044414,8.194385884685666,2.913334354261308,0.18065474212748908,0.5595380535953287,-155.35
0,0,535.7739386611742,1,3.939614368412822,9.270828856421266,2.8953406187294943,0.10186619824863492,0.561254691924688,-28.9125
0,0,737.5979872471488,0,5.628189020832116,6.314518904397504,2.677482301349454,0.27754477317720955,0.48496012529687693,-157.6875
0,0,540.1478561903767,0,5.632020981802827,2.0460099162625163,7.306055794697326,0.6537671871063252,0.5372470406113798,-153.5875
0,0,378.8525387017008,0,5.630204441472702,2.057681082690462,2.808060758069314,0.5019483635501432,0.41763833344175205,0.0
0,0,667.9805590441366,0,2.483476328341184,2.63851189876691,3.035048765177722,0.30428906539360595,0.4612180532026541,0.0
0,0,998.357864504574,0,5.586940970004654,7.27031035042271,6.927569644252108,0.5044311662953994,0.47881493909007977,-153.875
0,0,890.5787226008334,0,5.544146099961419,6.844744359622039,5.568157366446796,0.488169704710837,0.48422297187499463,0.0
0,0,622.9263995064114,0,6.11561751140866,2.1763005624617655,3.2115299242407143,0.43235663789427636,0.4597449820553309,0.0
0,0,991.1705525881129,0,5.610265124312292,6.9683324801490665,2.7283658128625703,0.10664552741229862,0.4820253689091112,-156.2
